user_id,user_journey
1516,Homepage-Other-Other-Homepage-Checkout-Checkout-Checkout-Checkout-Coupon-Checkout-Checkout-Checkout
3395,Other-Pricing-Homepage-Pricing-Pricing-Checkout-Checkout
10107,Homepage-Homepage-Career tracks-Homepage-Career tracks-Homepage-Resources center-Other-Homepage-Career tracks-Career tracks-Courses-Career tracks-Courses-Career tracks-Career tracks-Homepage-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
11145,Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Checkout
12400,Homepage-Career tracks-Other-Career track certificate-Resources center-Homepage-Instructors-Homepage-Checkout
13082,Checkout-Checkout-Checkout-Homepage-Checkout
14415,Pricing-Pricing-Homepage-Checkout-Checkout
15630,Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Pricing-Checkout-Other-Homepage-Checkout-Coupon-Homepage-Checkout-Checkout
16589,Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Pricing-Homepage-Checkout
19458,Homepage-Other-Homepage-Pricing-Homepage-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Career tracks-Courses-Coupon
20355,Pricing-Courses-Career track certificate-Pricing-Homepage-Checkout
22679,Coupon-Coupon
23292,Homepage-Homepage-Homepage-Coupon-Homepage-Checkout-Checkout
24414,Coupon-Coupon
31705,Homepage-Pricing-Career tracks-Checkout-Homepage-Checkout-Checkout-Checkout-Checkout
34689,Homepage-Homepage-Career tracks-Courses-Homepage-Checkout
34912,Checkout
37614,Pricing-Resources center-Checkout-Checkout-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Checkout-Homepage-Homepage-Coupon-Coupon-Coupon
37828,Homepage-Courses-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Other-Resources center-Homepage-Pricing-Checkout-Pricing-Courses-Checkout
39452,Courses-Other-Coupon-Coupon
41200,Coupon-Coupon-Coupon-Coupon-Checkout-Checkout
49669,Coupon-Other-Coupon
60084,Other
71559,Coupon-Pricing-Pricing-Checkout
72771,Checkout
74256,Other-Homepage-Checkout
75048,Resources center-Resources center-Other-Other-Courses-Coupon-Coupon
82563,Courses-Checkout-Checkout
